SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_12D4QRNBA1W5OqC,Female,6,21,4,5,4,4,non_art,23,"No, I experienced something else",4.5,4.5,5.5,4,5,post,6,2,2.8333333333333335,2,5.6,5
R_1GvTM0SzLEeFG0L,Female,7,74,5,4,5,2,non_art,26,"No, I experienced something else",6,3,6,2.5,7,pre,5,4,5.333333333333333,3.5,5.8,5
R_1GvTM0SzLEeFG0L,Female,7,74,5,4,5,2,non_art,26,"No, I experienced something else",6,3,6,2.5,7,post,5,4,5.5,3.5,6.2,5
R_3O2JsBpLm5YhTr3,Female,5,82,6,5,7,7,art,27,"Yes, I saw art",3,5.5,5,4,4.5,pre,4,3,4.166666666666667,4.5,3.8,3.5
R_3O2JsBpLm5YhTr3,Female,5,82,6,5,7,7,art,27,"Yes, I saw art",3,5.5,5,4,4.5,post,5,3,3.6666666666666665,3.8333333333333335,3.8,3
R_1dm3jtZkRIwWmwH,Female,7,45,1,3,2,2,non_art,27,"No, I experienced something else",2.5,3,6,2.5,6,pre,3,4,3.6666666666666665,4.166666666666667,4.2,2
R_1dm3jtZkRIwWmwH,Female,7,45,1,3,2,2,non_art,27,"No, I experienced something else",2.5,3,6,2.5,6,post,6,3,3.6666666666666665,2.8333333333333335,3.8,5.25
R_1LIlln9LLE0OhPL,Female,5,90,5,4,7,7,art,59,"Yes, I saw art",3,6,6,4.5,5,pre,5,1,2.5,2.1666666666666665,5.8,5.25
R_1LIlln9LLE0OhPL,Female,5,90,5,4,7,7,art,59,"Yes, I saw art",3,6,6,4.5,5,post,6,1,2.6666666666666665,2,6.2,6
R_32Jv5xHt7TLzqKk,Female,7,50,2,3,5,4,art,26,"Yes, I saw art",6,6,6,6,7,pre,5,3,1.8333333333333333,3.8333333333333335,6,5.75
R_32Jv5xHt7TLzqKk,Female,7,50,2,3,5,4,art,26,"Yes, I saw art",6,6,6,6,7,post,4,3,1.8333333333333333,3.3333333333333335,6.6,6
R_9AGwDcoKBRlj4Bj,Female,4,80,3,3,5,7,art,35,"Yes, I saw art",3,5.5,4,5,5,pre,5,3,3.1666666666666665,3.6666666666666665,4.8,5
R_9AGwDcoKBRlj4Bj,Female,4,80,3,3,5,7,art,35,"Yes, I saw art",3,5.5,4,5,5,post,5,3,3.1666666666666665,3,5.2,5.5
R_1f8HTaH4MuIbMks,Male,3,60,2,2,4,6,art,24,"Yes, I saw art",5.5,4.5,4,6,6,pre,5,2,4.666666666666667,3.5,3.4,4
R_1f8HTaH4MuIbMks,Male,3,60,2,2,4,6,art,24,"Yes, I saw art",5.5,4.5,4,6,6,post,5,2,4.333333333333333,3.8333333333333335,3.2,4
R_3pgzoQkBG7uZA8n,Female,3,65,2,2,2,4,art,25,"Yes, I saw art",3,6,6.5,2,4.5,pre,5,2,4.666666666666667,3.8333333333333335,4.4,5.5
R_3pgzoQkBG7uZA8n,Female,3,65,2,2,2,4,art,25,"Yes, I saw art",3,6,6.5,2,4.5,post,4,4,NA,4.5,4.2,NA
R_3PgAjSXtrw7vhXe,Female,6,75,3,4,4,3,non_art,21,"Yes, I saw art",4.5,4,6,3.5,7,pre,3,6,5.166666666666667,6.166666666666667,2.4,3.5
R_3PgAjSXtrw7vhXe,Female,6,75,3,4,4,3,non_art,21,"Yes, I saw art",4.5,4,6,3.5,7,post,3,6,5.666666666666667,5.666666666666667,2.4,3
R_2TOg2Wtn8eJp7pE,Male,3,30,2,4,5,6,art,33,"Yes, I saw art",6,6,6.5,6,6.5,pre,6,1,2.3333333333333335,1,6,6
R_2TOg2Wtn8eJp7pE,Male,3,30,2,4,5,6,art,33,"Yes, I saw art",6,6,6.5,6,6.5,post,6,1,2.5,1.5,6,4.75
R_1n9Of7GHnxdzU4M,Female,3,73,3,3,4,5,art,26,"Yes, I saw art",2.5,5,5.5,3,5.5,pre,3,4,3.6666666666666665,4.5,4.8,3.75
R_1n9Of7GHnxdzU4M,Female,3,73,3,3,4,5,art,26,"Yes, I saw art",2.5,5,5.5,3,5.5,post,NA,NA,NA,4,NA,3.75
